TweetText,id
"RT @UniversalORL: How an award show calls itself the #GoldenGlobes yet doesn't have a category for Best Globe, we'll never understand. http",0
RT @nicktsimmons: Jim Carrey explaining what award shows really are. #GoldenGlobes #sorrynotsorry  https://t.co/nKFYNi5Q3x,0
"RT @heathermyim: Hey #LuchaUnderground fans, forget the #GoldenGlobes or award season, come watch @DelClosedFist this Sat @PackTheater w/ g",0
#MerylStreep was the highlight of the #GoldenGlobes awards shows invariably boring but she struck real gold with her speech. #Trump go away.,0
RT @goldenglobes: Emma Stone and @VancityReynolds present the first award of the night for Best Supporting Actor - Motion Picture. #GoldenG,0
"RT @funder: Photos:#Trump was 'awarded' $400,000 car from Joey 'no socks' Cinque's org-7 yrs ago #Trumpleaks #theresistance #goldenglobes #",0
RT @CrystalSustaire: @goldenglobes @donaldglover I didn't even watch &amp; I'm disappointed.Do what ur paid to do act.Don't use award ceremon,0
"RT @libertytarian: Streep's #GoldenGlobes Exposed As FraudPhony award, phony outrage over phony story about @realDonaldTrumphttps://t.c",0
RT @WEdwarda: The face you make when you think your at an awards show but it turns out to be the Democratic National Convention.#GoldenGlo,0
RT @LaLaLand: What a lovely night! #LALALAND takes home the #GoldenGlobes award for Best Picture.  https://t.co/uSgmIw12dA https://t.co/O,0
"RT @funder: Comey got award in Novvia org Joey ""no socks"" Cinque is on board &amp; #Trump's a member #Trumpleaks #theresistance #goldenglobes",0
RT @TheWing: The #GoldenGlobes awarded a play and a musical as the best films of the year. Arts matters. For everyone.,0
"RT @GillianA: Thanks to @jennypackham for the gorgeous dress, @BuccellatiMilan for jewelry, @Sophie_Hulme bag &amp; the lovely @marthaward2! #G",0
"RT @goldenglobes: Later, she's presenting an award but first @priyankachopra is catching up with us on the #GoldenGlobes Red Carpet! https:",0
"RT @thekellymantle: For the #Trump supporters whining that ""celebrity elitists at their award shows should stay out of politics"":#GoldenGl",0
RT @goldenglobes: .@priyankachopra and @JDMorgan take the stage to present the next award! #GoldenGlobes https://t.co/15TueiW4gx,0
"RT @CBSNews: ""La La Land"" dominated Sunday's #GoldenGlobes, winning a record number of awards https://t.co/f9GZy4wQsM https://t.co/pBPzXoHn",0
"RT @PopCrave: Congratulations to Emma Stone for winning the award ""Best Performance By An Actress In A Motion Picture - Musical Or Comedy"".",0
Bashing Trump at award show is new dropping boobs  #GoldenGlobes @realDonaldTrump #MerylStreep https://t.co/VOMKvwlkrv,0
Plus she had no idea what she was saying. Didn't watch #GoldenGlobes Don't watch movies &amp; haven't seen an awards sh https://t.co/hHonjqvgHL,0
RT @paul_lander: I can see why Trump is mad at #merylstreepgoldenglobes .  She won all her awards without any help from Putin... #GoldenGlo,0
RT @JoyAnnReid: Congratulations to @AtlantaFX - one of THE best shows to debut last year. Well deserved award. #GoldenGlobes https://t.co/3,0
"RT @tonyposnanski: The #GoldenGlobes is on NBC...So you know Trump already thinks the awards are rigged, the jokes are not funny, and he",0
"RT @jerhyr60: @AppSame @RNRMaryland @goldenglobes I say change the name to the ""Golden Shower"" awards! Don't watch, just pi** on em!",0
"RT @Terri_Schwartz: And with its Best Comedy Film win, #LaLaLand officially has won more #GoldenGlobes than any film in the awards show's h",0
RT @LaLaLand:  Music to our ears!   The #GoldenGlobes honor #LALALAND composer Justin Hurwitz with the award for Best Original Score. htt,0
@LaLaLand Congrats to #JustinHurwitz on a well deserved @goldenglobes win #BestOriginalScore - Best song and score of the year! #audawards,0
RT @IndieWire: #LaLaLand won EVERY award it was nominated for. It's now the most awarded film in #GoldenGlobes history https://t.co/CM1YKCk,0
RT @MisterBroRo: Throwback to Lady Gaga's reaction after winning the award for Best Actress In A Limited Series Or TV Movie in 2016! #Golde,0
"@tomellis17 I think all actors do.  If she's overrated w her awards, I wonder what bankruptcies say abt him. #notmypresident #GoldenGlobes",0
"What Meryl Streep said about Trump last night at those awards, was like Ether - White people version. #GoldenGlobes #trump",0
"@AppSame @RNRMaryland @goldenglobes I say change the name to the ""Golden Shower"" awards! Don't watch, just pi** on em!",0
RT @stevenartpop: Throwback: Lady Gaga accepting the award for Best Actress in a Limited Series or TV Movie in 2016! #GoldenGlobes https://,0
RT @oyinhandmade: Congrats to @moonlightmov on the Best Picture award for drama! #goldenglobes!!  All l https://t.co/guWDUZD1KM https,0
Congrats to @moonlightmov on the Best Picture award for drama! #goldenglobes!!  All l https://t.co/guWDUZD1KM https://t.co/vderqYtbg7,0
RT @TheTylt: RT if you agree award-winning goddess Viola Davis also won the night with her #GoldenGlobes dresshttps://t.co/w4Zucw6CHD #Vio,0
RT @THR: #GoldenGlobes: Tom Hiddleston dedicates his award to aid workers in Sudan https://t.co/bPWktrJeI4 https://t.co/oeyERpLJi1,0
"RT @TheShovel: Donald Trump awarded 'Best performance by a small, pathetic little man in a light entertainment drama' #GoldenGlobes",0
RT @ABC7: #MerylStreep delivers powerful anti-Trump speech as she accepts #GoldenGlobes awardhttps://t.co/ieLXTN9XIM https://t.co/B9HLhJlQ,0
"RT @johnbonazzo: It's almost cruel that Brie Larson, an advocate for victims of sexual assault, has to present an award to Casey Affleck. #",0
RT @EW: These two need to present every award.  #GoldenGlobes https://t.co/J79nvbLqkr,0
"RT @Wutevuh: RT libertytarian: Streep's #GoldenGlobes Exposed As FraudPhony award, phony outrage over phony story about realD https://t.",0
@goldenglobes i am again reminded why I don't watch award shows.  I expected big things from @jimmyfallon and was disappointed.,0
RT @enews: The #GoldenGlobes award for Best Actor in a TV Series Drama goes to Billy Bob Thornton for Goliath: https://t.co/7sl84jbH7f http,0
RT @goldenglobes: .@LeoDiCaprio takes the #GoldenGlobes stage to present the penultimate award of the night: Best Actress in a Motion Pictu,0
RT @BB8: Beep boop! *RT if you think BB-8 Should win a #GoldenGlobes award tonight!* https://t.co/4pKMzgJEAI,0
"RT @TiffanyAndCo: Congratulations, Emma Stone! The actress picked up a Best Actress award at last night's #GoldenGlobes. https://t.co/OsKQK",0
RT @GeeksOfColor: Diego Luna speaking in Spanish to present the award. The GOAT.  #goldenglobes https://t.co/DEdyQo62UO,0
"RT @AdjectiveNouns: And the award for Best Actor goes to Casey Affleck for his role as ""Wow You'd Never Guess He Was A Monster"" in ""Public""",0
RT if you agree award-winning goddess Viola Davis also won the night with her #GoldenGlobes dress https://t.co/rR7S5mOGXR,0
RT @ForAmerica: Meryl Streep wins an award and decides to attack Donald Trump.What a surprise. To no one. #GoldenGlobes https://t.co/85,0
RT @goldenglobes: .@LauraDern &amp; Jon Hamm take the #GoldenGlobes stage to present the award for Best Performance by an Actress in a Televisi,0
.@priyankachopra and @JDMorgan take the stage to present the next award! #GoldenGlobes https://t.co/DVmFwVHIyk https://t.co/UHZAXzNbPI,0
RT @MalikYoba: When #merylstreep calls you out for being who you are......#goldenglobes #awards #trump #baby https://t.co/g6hnilpOir,0
"RT @IndieWire: It's official: #LaLaLand makes Golden Globe history with 7 awards, wins Best Musical/Comedy Film https://t.co/h182qjIx41 #Go",0
"RT @MSignorile: Streep, so wise &amp; humble. Given big award, doesnt discuss her career at all. Uses her time to shame, skewer Trump. Brave.",0
"RT @KING5Seattle: La La Land wins best motion picture - musical or comedy, winning the most awards in #GoldenGlobes history.",0
"@goldenglobes After last night, I will NEVER again take time out of my life to watch this FARCE of an awards show!",0
RT @IndieWire: #LaLaLand won EVERY award it was nominated for. It's now the most awarded film in #GoldenGlobes history https://t.co/CM1YKCC,0
"RT @glamourmag: ""Hope and creativity are two of the most important things in the world""  Emma Stone wins the #GoldenGlobes award for Best",0
RT @EW: The #GoldenGlobes award for Best Actor in a Limited Series or TV Movie goes to @twhiddleston for #TheNightManager! https://t.co/1E4,0
RT @BracketWAG: I didn't watch the #GoldenGlobes and am better for it. sports &gt; politics AND award shows,0
#GoldenGlobes Omgomgomg and the award for Best Director goes to.....Damien Chazelle for #LALALAND!! ,0
"RT @VIPmagaz: #ColinFarrell has arrived at the #GoldenGlobes red carpet with his mother, Rita. Here's hoping Colin brings home the award to",0
@goldenglobes Meryl Streep precisely the reason I never watch award shows and movies I watch now are pre-1960,0
@usweekly it's supposed to be about the awards not her political views... why I didn't even watch #GoldenGlobes,0
Retweeted Nick T. Simmons (@nicktsimmons):Jim Carrey explaining what award shows really are. #GoldenGlobes... https://t.co/iioVYuLYjE,0
